Datum	Bundesland	Insgesamt	Alternative_Antriebe	Elektro	Elektro_BEV	Brennstoffzelle_Wasserstoff	Plugin_Hybrid	Hybrid	Benzin_Hybrid	Diesel_Hybrid	Gas	Jahr	Monat
2019-12-31	Baden-Württemberg	518851	52213	18363	10223	0	8140	31923	0	0	1927	2019	12
2019-12-31	Bayern	732774	76396	25654	14532	0	11122	48172	0	0	2570	2019	12
2019-12-31	Berlin	87483	10880	4077	2588	0	1489	6361	0	0	442	2019	12
2019-12-31	Brandenburg	65378	5408	1612	889	0	723	3338	0	0	458	2019	12
2019-12-31	Bremen	21091	2283	719	380	0	339	1478	0	0	86	2019	12
2019-12-31	Hamburg	139286	12145	2622	1395	0	1227	9291	0	0	232	2019	12
2019-12-31	Hessen	388753	28078	9139	4885	0	4254	17560	0	0	1379	2019	12
2019-12-31	Mecklenburg-Vorpommern	39160	2961	714	388	0	326	2057	0	0	190	2019	12
2019-12-31	Niedersachsen	373211	22962	9562	6347	0	3215	11691	0	0	1709	2019	12
2019-12-31	Nordrhein-Westfalen	720517	62380	21501	12377	0	9124	36781	0	0	4098	2019	12
2019-12-31	Rheinland-Pfalz	138871	11612	4120	2489	0	1631	6946	0	0	546	2019	12
2019-12-31	Saarland	41734	2943	864	412	0	452	2000	0	0	79	2019	12
2019-12-31	Sachsen	122790	9162	2287	1298	0	989	6427	0	0	448	2019	12
2019-12-31	Sachsen-Anhalt	58224	4167	1037	630	0	407	2875	0	0	255	2019	12
2019-12-31	Schleswig-Holstein	89897	7669	3303	2081	0	1222	4098	0	0	268	2019	12
2019-12-31	Thüringen	68039	5921	2922	2339	0	583	2810	0	0	189	2019	12
2019-12-31	Sonstige	1199	438	341	28	208	105	94	0	0	3	2019	12
2018-12-31	Baden-Württemberg	480095	28300	11286	5806	0	5480	15204	0	0	1810	2018	12
2018-12-31	Bayern	709478	40679	15283	8337	0	6946	22752	0	0	2644	2018	12
2018-12-31	Berlin	81084	6525	2169	1174	0	995	3877	0	0	479	2018	12
2018-12-31	Brandenburg	67777	3520	1207	694	0	513	1941	0	0	372	2018	12
2018-12-31	Bremen	20436	1281	357	171	0	186	837	0	0	87	2018	12
2018-12-31	Hamburg	139237	6119	2005	1126	0	879	3885	0	0	229	2018	12
2018-12-31	Hessen	366173	17033	7386	4741	0	2645	8227	0	0	1420	2018	12
2018-12-31	Mecklenburg-Vorpommern	39451	1769	466	239	0	227	1075	0	0	228	2018	12
2018-12-31	Niedersachsen	351474	15005	6437	3031	0	3406	6473	0	0	2095	2018	12
2018-12-31	Nordrhein-Westfalen	673898	36821	12241	6013	0	6228	20436	0	0	4144	2018	12
2018-12-31	Rheinland-Pfalz	134089	6696	2485	1162	0	1323	3664	0	0	547	2018	12
2018-12-31	Saarland	39573	1938	547	240	0	307	1278	0	0	113	2018	12
2018-12-31	Sachsen	120597	5977	1708	1065	0	643	3769	0	0	500	2018	12
2018-12-31	Sachsen-Anhalt	57492	2614	704	367	0	337	1670	0	0	240	2018	12
2018-12-31	Schleswig-Holstein	87182	4775	2185	1335	0	850	2232	0	0	358	2018	12
2018-12-31	Thüringen	66913	2600	949	552	0	397	1451	0	0	200	2018	12
2018-12-31	Sonstige	829	286	240	9	151	80	45	0	0	1	2018	12
2017-12-31	Baden-Württemberg	472694	17836	10006	4387	0	5619	6928	0	0	902	2017	12
2017-12-31	Bayern	700973	24526	12206	5677	0	6529	11195	0	0	1125	2017	12
2017-12-31	Berlin	83536	4084	1563	664	0	899	2296	0	0	225	2017	12
2017-12-31	Brandenburg	67979	2624	845	381	0	464	1481	0	0	298	2017	12
2017-12-31	Bremen	22608	807	291	86	0	205	449	0	0	67	2017	12
2017-12-31	Hamburg	140532	2949	1368	608	0	760	1392	0	0	189	2017	12
2017-12-31	Hessen	370171	10971	5811	3673	0	2138	4453	0	0	707	2017	12
2017-12-31	Mecklenburg-Vorpommern	38758	1224	354	150	0	204	747	0	0	123	2017	12
2017-12-31	Niedersachsen	358447	11287	6081	2229	0	3852	4025	0	0	1181	2017	12
2017-12-31	Nordrhein-Westfalen	674463	24305	9382	4291	0	5091	12674	0	0	2249	2017	12
2017-12-31	Rheinland-Pfalz	131505	4358	1806	765	0	1041	2244	0	0	308	2017	12
2017-12-31	Saarland	37004	1402	352	170	0	182	1000	0	0	50	2017	12
2017-12-31	Sachsen	123984	4471	1399	620	0	779	2814	0	0	258	2017	12
2017-12-31	Sachsen-Anhalt	60364	1969	649	212	0	437	1175	0	0	145	2017	12
2017-12-31	Schleswig-Holstein	87881	3229	1523	786	0	737	1528	0	0	178	2017	12
2017-12-31	Thüringen	69317	1733	782	330	0	452	834	0	0	117	2017	12
2017-12-31	Sonstige	1046	199	194	27	120	47	4	0	0	1	2017	12
